date,transactionRevenue
2017-01-01,993.0100000000001
2017-01-02,1027.6000000000001
2017-01-03,4574.74
2017-01-04,4777.139999999999
2017-01-05,9097.970000000001
2017-01-06,4335.240000000001
2017-01-07,388.2699999999999
2017-01-08,1615.3000000000002
2017-01-09,7170.5
2017-01-10,5982.739999999999
2017-01-11,1494.62
2017-01-12,4199.51
2017-01-13,3317.6000000000004
2017-01-14,588.13
2017-01-15,127.87999999999998
2017-01-16,2792.64
2017-01-17,3669.49
2017-01-18,7188.079999999997
2017-01-19,3056.9700000000003
2017-01-20,2839.17
2017-01-21,968.5500000000002
2017-01-22,1394.1399999999999
2017-01-23,2916.54
2017-01-24,4978.039999999999
2017-01-25,2855.419999999999
2017-01-26,4500.41
2017-01-27,3741.17
2017-01-28,93.53999999999999
2017-01-29,2606.9299999999994
2017-01-30,4075.0299999999997
2017-01-31,8881.779999999999
2017-02-01,6112.7300000000005
2017-02-02,3166.7999999999993
2017-02-03,4742.980000000001
2017-02-04,1029.3300000000002
2017-02-05,810.6400000000001
2017-02-06,3648.29
2017-02-07,3995.87
2017-02-08,2860.38
2017-02-09,5899.379999999999
2017-02-10,5000.07
2017-02-11,811.4200000000001
2017-02-12,821.5400000000001
2017-02-13,3668.05
2017-02-14,23242.37
2017-02-15,3667.4699999999993
2017-02-16,5918.98
2017-02-17,4455.820000000001
2017-02-18,505.89000000000004
2017-02-19,1944.4500000000003
2017-02-20,4359.810000000001
2017-02-21,6466.899999999999
2017-02-22,4588.959999999999
2017-02-23,3416.28
2017-02-24,4765.25
2017-02-25,895.32
2017-02-26,652.75
2017-02-27,3352.1900000000005
2017-02-28,5311.68
2017-03-01,4406.33
2017-03-02,4496.2
2017-03-03,2976.6599999999994
2017-03-04,6104.97
2017-03-05,2212.7799999999997
2017-03-06,3974.0599999999995
2017-03-07,6474.619999999999
2017-03-08,4039.2699999999995
2017-03-09,4272.97
2017-03-10,4842.369999999999
2017-03-11,991.26
2017-03-12,693.87
2017-03-13,5333.98
2017-03-14,3882.3100000000004
2017-03-15,6653.23
2017-03-16,4159.67
2017-03-17,3215.14
2017-03-18,2370.9
2017-03-19,1834.7300000000002
2017-03-20,11368.06
2017-03-21,5604.780000000001
2017-03-22,6909.229999999999
2017-03-23,9509.579999999998
2017-03-24,11238.38
2017-03-25,945.32
2017-03-26,1542.77
2017-03-27,6474.0
2017-03-28,8650.13
2017-03-29,6502.46
2017-03-30,4488.41
2017-03-31,4056.2599999999998
2017-04-01,445.06
2017-04-02,1125.01
2017-04-03,4719.42
2017-04-04,4217.9299999999985
2017-04-05,51910.34
2017-04-06,6352.610000000001
2017-04-07,14067.789999999999
2017-04-08,1427.9499999999998
2017-04-09,1525.7600000000002
2017-04-10,5251.77
2017-04-11,3087.56
2017-04-12,5190.279999999999
2017-04-13,6023.379999999999
2017-04-14,5264.72
2017-04-15,323.28
2017-04-16,1283.75
2017-04-17,8977.889999999996
2017-04-18,37892.06
2017-04-19,7730.569999999999
2017-04-20,4237.360000000001
2017-04-21,11944.079999999998
2017-04-22,1943.7100000000003
2017-04-23,991.9300000000001
2017-04-24,2526.3500000000004
2017-04-25,3103.879999999999
2017-04-26,5371.24
2017-04-27,17270.539999999997
2017-04-28,4725.549999999999
2017-04-29,1130.3400000000001
2017-04-30,2705.8699999999994
2017-05-01,7524.080000000001
2017-05-02,5695.290000000001
2017-05-03,5724.0599999999995
2017-05-04,3341.4000000000005
2017-05-05,8054.0
2017-05-06,883.3600000000001
2017-05-07,1314.52
2017-05-08,6784.249999999998
2017-05-09,7634.17
2017-05-10,5830.870000000001
2017-05-11,4487.91
2017-05-12,6930.049999999999
2017-05-13,2313.0699999999993
2017-05-14,713.0899999999999
2017-05-15,3620.7799999999993
2017-05-16,6304.6900000000005
2017-05-17,5001.989999999998
2017-05-18,3904.749999999999
2017-05-19,6592.03
2017-05-20,1069.3900000000003
2017-05-21,1060.1100000000001
2017-05-22,2029.0500000000002
2017-05-23,4671.2
2017-05-24,5014.32
2017-05-25,2498.75
2017-05-26,4380.77
2017-05-27,1255.46
2017-05-28,333.99
2017-05-29,1321.3399999999997
2017-05-30,8592.300000000001
2017-05-31,11070.96
2017-06-01,3074.7300000000005
2017-06-02,4693.0599999999995
2017-06-03,1655.53
2017-06-04,1265.6000000000001
2017-06-05,4274.650000000001
2017-06-06,2563.83
2017-06-07,3265.1000000000004
2017-06-08,3327.1699999999987
2017-06-09,4098.8899999999985
2017-06-10,773.73
2017-06-11,1404.5
2017-06-12,12795.019999999997
2017-06-13,6060.990000000001
2017-06-14,9310.399999999998
2017-06-15,6238.919999999998
2017-06-16,5965.599999999999
2017-06-17,1998.5800000000002
2017-06-18,2659.3999999999996
2017-06-19,9274.910000000002
2017-06-20,4371.44
2017-06-21,8707.84
2017-06-22,2644.48
2017-06-23,2225.7799999999997
2017-06-24,439.91999999999996
2017-06-25,877.8900000000001
2017-06-26,1917.9800000000002
2017-06-27,4016.3099999999995
2017-06-28,9042.57
2017-06-29,4843.04
2017-06-30,4204.9800000000005
